feature,VIF
MagpieData minimum Number,inf
MagpieData maximum Number,inf
MagpieData range Number,inf
MagpieData mean Number,9732.246407751014
MagpieData avg_dev Number,2585.347876066023
MagpieData mode Number,
MagpieData minimum MendeleevNumber,inf
MagpieData maximum MendeleevNumber,inf
MagpieData range MendeleevNumber,inf
MagpieData mean MendeleevNumber,626.7791280463523
MagpieData avg_dev MendeleevNumber,492.1822466044189
MagpieData mode MendeleevNumber,
MagpieData minimum AtomicWeight,inf
MagpieData maximum AtomicWeight,inf
MagpieData range AtomicWeight,inf
MagpieData mean AtomicWeight,5671.649798675294
MagpieData avg_dev AtomicWeight,1948.3241246661123
MagpieData mode AtomicWeight,
MagpieData minimum MeltingT,inf
MagpieData maximum MeltingT,inf
MagpieData range MeltingT,inf
MagpieData mean MeltingT,185.84855588150967
MagpieData avg_dev MeltingT,186.58954437498682
MagpieData mode MeltingT,
MagpieData minimum Column,inf
MagpieData maximum Column,inf
MagpieData range Column,inf
MagpieData mean Column,913.3912309690962
MagpieData avg_dev Column,657.7791033202693
MagpieData mode Column,
MagpieData minimum Row,inf
MagpieData maximum Row,inf
MagpieData range Row,inf
MagpieData mean Row,2228.5589790809195
MagpieData avg_dev Row,1278.9758180051833
MagpieData mode Row,
MagpieData minimum CovalentRadius,inf
MagpieData maximum CovalentRadius,inf
MagpieData range CovalentRadius,inf
MagpieData mean CovalentRadius,1698.5883703743077
MagpieData avg_dev CovalentRadius,1409.9380444415362
MagpieData mode CovalentRadius,
MagpieData minimum Electronegativity,inf
MagpieData maximum Electronegativity,inf
MagpieData range Electronegativity,inf
MagpieData mean Electronegativity,647.8392163505965
MagpieData avg_dev Electronegativity,625.6650772632619
MagpieData mode Electronegativity,
MagpieData minimum NsValence,inf
MagpieData maximum NsValence,
MagpieData range NsValence,inf
MagpieData mean NsValence,inf
MagpieData avg_dev NsValence,9137.065110922687
MagpieData mode NsValence,
MagpieData minimum NpValence,inf
MagpieData maximum NpValence,inf
MagpieData range NpValence,inf
MagpieData mean NpValence,inf
MagpieData avg_dev NpValence,292.0499908617228
MagpieData mode NpValence,
MagpieData minimum NdValence,
MagpieData maximum NdValence,inf
MagpieData range NdValence,inf
MagpieData mean NdValence,inf
MagpieData avg_dev NdValence,160.52188204805196
MagpieData mode NdValence,
MagpieData minimum NfValence,
MagpieData maximum NfValence,inf
MagpieData range NfValence,inf
MagpieData mean NfValence,inf
MagpieData avg_dev NfValence,406.6637325187744
MagpieData mode NfValence,
MagpieData minimum NValence,inf
MagpieData maximum NValence,inf
MagpieData range NValence,inf
MagpieData mean NValence,inf
MagpieData avg_dev NValence,38.877045436272994
MagpieData mode NValence,
MagpieData minimum NsUnfilled,
MagpieData maximum NsUnfilled,inf
MagpieData range NsUnfilled,inf
MagpieData mean NsUnfilled,inf
MagpieData avg_dev NsUnfilled,8477.911963238677
MagpieData mode NsUnfilled,
MagpieData minimum NpUnfilled,inf
MagpieData maximum NpUnfilled,inf
MagpieData range NpUnfilled,inf
MagpieData mean NpUnfilled,inf
MagpieData avg_dev NpUnfilled,9.15776849052167
MagpieData mode NpUnfilled,
MagpieData minimum NdUnfilled,
MagpieData maximum NdUnfilled,inf
MagpieData range NdUnfilled,inf
MagpieData mean NdUnfilled,inf
MagpieData avg_dev NdUnfilled,128.858371102559
MagpieData mode NdUnfilled,
MagpieData minimum NfUnfilled,
MagpieData maximum NfUnfilled,inf
MagpieData range NfUnfilled,inf
MagpieData mean NfUnfilled,inf
MagpieData avg_dev NfUnfilled,5289.431855994523
MagpieData mode NfUnfilled,
MagpieData minimum NUnfilled,inf
MagpieData maximum NUnfilled,inf
MagpieData range NUnfilled,inf
MagpieData mean NUnfilled,inf
MagpieData avg_dev NUnfilled,57.121991872684845
MagpieData mode NUnfilled,
MagpieData minimum GSvolume_pa,inf
MagpieData maximum GSvolume_pa,inf
MagpieData range GSvolume_pa,inf
MagpieData mean GSvolume_pa,149.46855300993005
MagpieData avg_dev GSvolume_pa,75.29507860616486
MagpieData mode GSvolume_pa,
MagpieData minimum GSbandgap,
MagpieData maximum GSbandgap,inf
MagpieData range GSbandgap,inf
MagpieData mean GSbandgap,438.1966331102199
MagpieData avg_dev GSbandgap,590.370296251
MagpieData mode GSbandgap,
MagpieData minimum GSmagmom,
MagpieData maximum GSmagmom,inf
MagpieData range GSmagmom,inf
MagpieData mean GSmagmom,466.12063209417704
MagpieData avg_dev GSmagmom,683.8741791625328
MagpieData mode GSmagmom,
MagpieData minimum SpaceGroupNumber,inf
MagpieData maximum SpaceGroupNumber,inf
MagpieData range SpaceGroupNumber,inf
MagpieData mean SpaceGroupNumber,38.53629877211846
MagpieData avg_dev SpaceGroupNumber,34.63289848544668
MagpieData mode SpaceGroupNumber,
