feature,xgboost,lightgbm,catboost,mean_norm
MagpieData mean Column,0.14656924153229148,0.017713381970307637,0.14053822677744843,0.10160695009334919
MagpieData avg_dev NdValence,0.06930947512750911,0.039008213866639455,0.12598431519773343,0.07810066806396067
MagpieData avg_dev Column,0.06942907930143777,0.024131421866231316,0.048885493823066194,0.0474819983302451
MagpieData avg_dev NpValence,0.06573937286465634,0.012274883934493138,0.0347723436753972,0.03759553349151556
MagpieData mean MeltingT,0.00856214601285707,0.06172134074792102,0.03519053741298194,0.035158008057920014
MagpieData avg_dev NValence,0.007131894334121681,0.04993622774348248,0.039221714621433014,0.03209661223301239
MagpieData avg_dev Electronegativity,0.008786862981016458,0.05497678689862762,0.028301118187274193,0.030688256022306095
MagpieData mean Electronegativity,0.01479271843928309,0.048619968368960764,0.028101909884522196,0.030504865564255353
MagpieData avg_dev NUnfilled,0.009939649442020944,0.04546706800673435,0.03531214828184061,0.030239621910198633
MagpieData avg_dev NpUnfilled,0.014738385078641787,0.012009591347380236,0.06176142237229821,0.029503132932773412
MagpieData avg_dev MeltingT,0.009827566629431649,0.04936482832508546,0.02648844386010721,0.028560279604874773
MagpieData avg_dev SpaceGroupNumber,0.0054401035198227985,0.04312024896688944,0.03132175203813102,0.026627368174947753
MagpieData avg_dev GSvolume_pa,0.004142371596870273,0.056537931738176624,0.016172010853512143,0.02561743806285301
MagpieData mean GSvolume_pa,0.004380695188255055,0.05531350441304015,0.01590476130609012,0.02519965363579511
MagpieData avg_dev MendeleevNumber,0.00655182331066139,0.045456864445691546,0.016691932504949103,0.022900206753767346
MagpieData mean SpaceGroupNumber,0.008444246159291333,0.03269220958114382,0.025310714718313167,0.022149056819582773
MagpieData mean GSmagmom,0.01838036309468025,0.022417223611040253,0.023856308785419045,0.021551298497046515
MagpieData avg_dev NdUnfilled,0.01129634619291798,0.02868221009132187,0.022396769747977108,0.02079177534407232
MagpieData range NsValence,0.05141056111493792,0.00016325697668486303,0.007783395683547452,0.019785737925056748
MagpieData mean MendeleevNumber,0.008130979969390181,0.0354879853068721,0.011166833394467342,0.018261932890243207
MagpieData avg_dev CovalentRadius,0.006117684019785393,0.03846742513137085,0.008715523048512658,0.017766877399889636
MagpieData avg_dev NsValence,0.03231613062902794,0.0060813223815111474,0.014725599110746305,0.017707684040428464
MagpieData avg_dev AtomicWeight,0.005500279998473418,0.03285546655782868,0.011876896770432367,0.01674421444224482
MagpieData avg_dev GSmagmom,0.015569205865313336,0.012693229937248099,0.02174919992548233,0.016670545242681255
MagpieData mean CovalentRadius,0.00675615828366077,0.02839651038212336,0.0074264647026550615,0.014193044456146399
MagpieData mean Number,0.01322790275165192,0.019866333350339268,0.008225072011288484,0.013773102704426556
MagpieData minimum NsValence,0.029789832387534736,0.0004489566858833733,0.010637529642022707,0.013625439571813606
MagpieData mean AtomicWeight,0.005771943076389522,0.02789653589102597,0.006907074076024201,0.01352518434781323
MagpieData mean NsValence,0.027085994255644327,0.0019488801591755524,0.010730207964519588,0.013255027459779823
MagpieData avg_dev Number,0.007145127031322092,0.025886434365593593,0.005647483723051017,0.0128930150399889
MagpieData mean Row,0.02650762243027266,0.004397734809448497,0.007125617224196471,0.012676991487972543
MagpieData maximum GSmagmom,0.021383478019656708,0.001316259374521708,0.009888083656268356,0.010862607016815592
MagpieData avg_dev NfValence,0.008997426639582671,0.01090760675475741,0.01186151112690529,0.010588848173748458
MagpieData minimum MendeleevNumber,0.016392943012268776,0.005693587061884598,0.007777481322674994,0.009954670465609456
MagpieData avg_dev NsUnfilled,0.012903320992128008,0.005836436916483853,0.008351416361197916,0.009030391423269927
MagpieData mean GSbandgap,0.019059086793137652,0.004805877251160655,0.003209952095326255,0.009024972046541522
MagpieData range MendeleevNumber,0.014912938217452145,0.005438498035814499,0.005681824986339931,0.008677753746535526
MagpieData maximum NpValence,0.02489236444783425,0.0,4.145811799400276e-05,0.008311274188609417
src_MP,0.012729369487718993,0.0017244018162338656,0.010464733352291207,0.008306168218748022
MagpieData range GSmagmom,0.01339652615945091,0.00035712463649813784,0.010584289606119764,0.008112646800689604
MagpieData maximum SpaceGroupNumber,0.01156881952149843,0.002999846946584358,0.009763560970250223,0.008110742479444337
MagpieData avg_dev Row,0.010544734393605754,0.007193510535176776,0.005779608685827917,0.007839284538203482
MagpieData avg_dev GSbandgap,0.018108375916498404,0.0010611703484516095,0.002982460836639717,0.007384002367196577
src_OQMD,0.012268810902911008,0.0008468955665527269,0.0070853774289936725,0.006733694632819136
MagpieData minimum Electronegativity,0.00822157623821267,0.005632365695627774,0.0058296227022552475,0.006561188212031897
MagpieData avg_dev NfUnfilled,0.007373855205931293,0.008673026886383347,0.001605043658091451,0.005883975250135363
MagpieData range Electronegativity,0.010839067726316692,0.0017754196214478852,0.004967660532105553,0.0058607159599567095
MagpieData minimum SpaceGroupNumber,0.01658090067729974,5.101780521401969e-05,5.244611935846986e-05,0.005561454867290743
MagpieData range GSbandgap,0.01111387867462991,0.0008060813223815112,0.003348009148730607,0.005089323048580676
MagpieData maximum MendeleevNumber,0.013606796451397273,0.0002856997091985103,0.0008432228870564604,0.004911906349217415
src_JARVIS,0.009357422872396713,0.0005611958573542166,0.0008439078237952084,0.003587508851182046
src_AFLOW,0.005784426990217365,0.0,0.00010950725633730572,0.001964644748851557
MagpieData minimum NpValence,0.0011721180406839787,0.0,0.0,0.00039070601356132627
MagpieData maximum Electronegativity,0.0,0.0,0.0,0.0
src_OPTIMADE,0.0,0.0,0.0,0.0
