formula,dbs,n_entries,max_gap
Sr2MoGaO6,OQMD,11,0.0
Sr2ZnReO6,AFLOW/JARVIS/MP/OQMD,10,0.0
Sr2WSbO6,OQMD,1,0.0
Sr2InTeO6,OQMD,10,0.0
Sr2MoInO6,OQMD,11,0.0
Sr2FeReO6,AFLOW/MP/OQMD,17,0.0
Sr2ReInO6,JARVIS/MP/OQMD,14,0.0
Sr2HfIrO6,OQMD,10,0.0
Sr2MoSnO6,OQMD,11,0.0
Sr2MoBiO6,OQMD,11,0.0
Sr2WAlO6,OQMD,11,0.0
Sr2BiTeO6,OQMD,10,0.0
Sr2GaTeO6,OQMD,10,0.0
Sr2ZrIrO6,OQMD,11,0.0
Sr2GeSbO6,OQMD,10,0.0
Sr2NbGeO6,OQMD,2,0.0
Sr2IrAlO6,OQMD,10,0.0
Sr2ReAlO6,OQMD,12,0.0
Sr2RhHfO6,OQMD,10,0.0
Sr2MnIrO6,OQMD,14,0.0
Sr2MoSbO6,OQMD,4,0.0
Sr2WBiO6,OQMD,2,0.0
Sr2CrTeO6,OQMD,11,0.0
Sr2NiGeO6,OQMD,3,0.0
Sr2MoTeO6,OQMD,3,0.0
Sr2FeIrO6,JARVIS/MP/OQMD,16,0.0
Sr2NbTaO6,OQMD,10,0.0
Sr2NbTeO6,OQMD,2,0.0
Sr2TiIrO6,OQMD,14,0.0
Sr2ScTeO6,OQMD,10,0.0
Sr2RuTaO6,OQMD,12,0.0
Sr2MoAlO6,OQMD,11,0.0
Sr2YIrO6,JARVIS/MP/OQMD,15,0.0
Sr2RuHfO6,OQMD,10,0.0
Sr2YReO6,AFLOW/JARVIS/MP/OQMD,15,0.0
Sr2CrReO6,MP/OQMD,14,0.0
Sr2ZrRhO6,OQMD,11,0.0
Sr2ScIrO6,JARVIS/MP/OQMD,13,0.0
Sr2IrTeO6,OQMD,2,0.0
Sr2WReO6,OQMD,3,0.0
Sr2RuReO6,OQMD,11,0.0
Sr2NbSnO6,MP/OQMD,11,0.0
Sr2HfWO6,MP/OQMD,11,0.0
Sr2RhReO6,OQMD,10,0.0
Sr2MoHfO6,OQMD,10,0.0
Sr2WInO6,MP/OQMD,12,0.0
Sr2WGaO6,OQMD,11,0.0
Sr2RuIrO6,OQMD,11,0.0
Sr2WIrO6,OQMD,9,0.0
Sr2IrSnO6,OQMD,10,0.0
Sr2ScWO6,OQMD,16,0.0
Sr2ReBiO6,OQMD,10,0.0
Sr2NbReO6,OQMD,9,0.0
Sr2MoReO6,OQMD,10,0.0
Sr2TiRhO6,OQMD,11,0.0
Sr2VRuO6,OQMD,11,0.0
Sr2IrGaO6,OQMD,10,0.0
Sr2NiIrO6,MP/OQMD,16,0.0
Sr2RhSnO6,OQMD,10,0.0
Sr2ReIrO6,OQMD,6,0.0
Sr2ZrMoO6,JARVIS/MP/OQMD,13,0.0
Sr2MoGeO6,OQMD,4,0.0
Sr2CoRuO6,JARVIS/MP/OQMD,14,0.0
Sr2ZrRuO6,OQMD,11,0.0
Sr2IrGeO6,OQMD,10,0.0
Sr2NbRuO6,OQMD,10,0.0
Sr2TaReO6,OQMD,10,0.0
Sr2ZrWO6,MP/OQMD,12,0.0
Sr2MoWO6,OQMD,10,0.0
Sr2ScReO6,MP/OQMD,17,0.0
Sr2CrIrO6,OQMD,10,0.0
Sr2CrFeO6,OQMD,10,0.0
Sr2IrBiO6,OQMD,12,0.0
Sr2RhGeO6,OQMD,10,0.0
Sr2IrInO6,OQMD,10,0.0
Sr2MoIrO6,OQMD,8,0.0
Sr2ScMoO6,OQMD,16,0.0
Sr2VReO6,OQMD,11,0.0
Sr2MnRuO6,JARVIS/MP/OQMD,16,0.0
Sr2MnCoO6,OQMD,11,0.0
Sr2MnCuO6,OQMD,10,0.0
Sr2ReSbO6,OQMD,10,0.0
Sr2TaGeO6,OQMD,2,0.0
Sr2RhTeO6,OQMD,10,0.0
Sr2RuTeO6,OQMD,10,0.0
Sr2TiMoO6,MP/OQMD,14,0.0
Sr2NiRuO6,AFLOW/JARVIS/MP/OQMD,18,0.0
Sr2TaTeO6,OQMD,2,0.0
Sr2ZnRuO6,OQMD,5,0.0
Sr2TiWO6,OQMD,11,0.0
Sr2RuSnO6,OQMD,10,0.0
Sr2RuSbO6,OQMD,11,0.0
Sr2CoRhO6,OQMD,12,0.0
Sr2RuRhO6,OQMD,11,0.0
Sr2MnNiO6,OQMD,11,0.0
Sr2MnRhO6,OQMD,11,0.0
Sr2RuGeO6,OQMD,10,0.0
Sr2CrRhO6,OQMD,11,0.0
Sr2RhIrO6,OQMD,12,0.0
Sr2CuRuO6,OQMD,13,0.0
Sr2NiRhO6,OQMD,16,0.0
Sr2MoRhO6,OQMD,10,0.0
Sr2RhPdO6,OQMD,12,0.0
Sr2CuIrO6,OQMD,12,0.0
