Rank,Compound,B site,B′ site,E_gap^ML (eV),CI low (eV),CI high (eV),P(stable),Score
1,Sr2TaReO6,Ta,Re,1.218,0.415,2.02,0.641,0.1918
2,Sr2TiMnO6,Ti,Mn,1.413,0.607,2.207,0.638,0.1908
3,Sr2VHfO6,V,Hf,1.715,0.922,2.529,0.645,0.1908
4,Sr2MnZrO6,Mn,Zr,1.935,1.142,2.74,0.644,0.1905
5,Sr2ZnReO6,Zn,Re,1.434,0.622,2.229,0.636,0.1904
6,Sr2NbTaO6,Nb,Ta,1.578,0.774,2.393,0.642,0.1903
7,Sr2YWO6,Y,W,1.539,0.721,2.341,0.641,0.1902
8,Sr2YMoO6,Y,Mo,1.296,0.497,2.104,0.637,0.1901
9,Sr2TiTaO6,Ti,Ta,1.318,0.515,2.123,0.645,0.1901
10,Sr2ZrWO6,Zr,W,1.243,0.421,2.035,0.631,0.19
11,Sr2IrTeO6,Ir,Te,1.042,0.231,1.836,0.62,0.19
12,Sr2HfWO6,Hf,W,1.313,0.489,2.112,0.642,0.19
13,Sr2MoSbO6,Mo,Sb,1.204,0.401,2.007,0.623,0.1898
14,Sr2VTaO6,V,Ta,1.418,0.622,2.245,0.641,0.1897
15,Sr2CrZnO6,Cr,Zn,1.099,0.302,1.907,0.624,0.1897
