formula_norm,n_sources,gap_min,gap_max,gap_mean,gap_std,range
AlBiO3,2,2.6250000000000004,4.2,3.4125000000000005,1.1136931803688124,1.5749999999999997
Ba2BiSbO6,5,1.6958000000000002,3.20868465046,2.103556930092,0.632709199673755,1.5128846504599998
Ba2CaMoO6,5,2.1194,3.61508206386,2.474896412772,0.6399877769699411,1.49568206386
Ba2CaTeO6,4,2.9961,3.444,3.173175,0.21773351257902385,0.44789999999999974
Ba2CaWO6,5,0.609,4.74610634282,2.892901268564,1.4805839869001212,4.13710634282
Ba2CdGe2O7,2,2.807,2.9166,2.8617999999999997,0.0774989032180457,0.10959999999999992
Ba2CdMoO6,2,2.281,2.5376000000000003,2.4093,0.18144360005246804,0.25660000000000016
Ba2CeZrO6,2,2.233,2.3156,2.2743,0.05840702012600851,0.08259999999999978
Ba2Co(PO4)2,2,1.4643000000000002,3.5461,2.5052000000000003,1.4720548970741547,2.0818
Ba2CoGe2O7,2,2.124,2.6982,2.4111000000000002,0.40602071375731563,0.5741999999999998
Ba2CoMoO6,2,1.0200000000000005,1.274,1.1470000000000002,0.17960512242138277,0.25399999999999956
Ba2CoReO6,3,0.19819999999999902,0.2893,0.2474999999999997,0.046010759611204516,0.09110000000000099
Ba2CoSi2O7,2,2.4604499999999994,3.7458,3.1031249999999995,0.9088797011981291,1.2853500000000007
Ba2CoWO6,2,1.5845,1.8426999999999991,1.7135999999999996,0.18257497090236594,0.2581999999999991
Ba2Cu(PO4)2,3,0.258499999999999,1.4721,0.691533333333333,0.6773409801077547,1.213600000000001
Ba2CuGe2O7,3,0.196299999999999,1.5455999999999999,0.6532999999999997,0.7728306347447675,1.3493000000000008
Ba2CuSi2O7,3,0.13134999999999952,1.43005,0.5836333333333332,0.7335947354182237,1.2987000000000006
Ba2CuWO6,2,0.7024999999999999,0.9129,0.8077,0.1487752667616497,0.21040000000000014
Ba2DyNbO6,4,2.86095,3.215,3.0225875,0.16104045234557263,0.35405
Ba2DySbO6,4,3.46185,3.956,3.652875,0.23522760786098224,0.49414999999999987
Ba2DyTaO6,2,3.3837,3.7169999999999996,3.55035,0.23567869016947593,0.3332999999999995
Ba2ErNbO6,4,2.854199999999999,3.09495,2.9875374999999997,0.11963400697544176,0.24075000000000069
Ba2ErRuO6,4,0.07160000000000001,1.08955,0.3780375000000001,0.4833292035024713,1.01795
Ba2ErSbO6,4,3.3672,3.7849999999999997,3.5387,0.20287667846912943,0.4177999999999997
Ba2ErTaO6,2,3.393399999999999,3.682,3.537699999999999,0.20407101705043854,0.2886000000000011
Ba2FeMoO6,5,0.2855,1.7801,1.0499422479319998,0.5911964588418522,1.4946000000000002
Ba2FeWO6,3,1.398,2.506199999999999,1.9931666666666663,0.5586467786833939,1.108199999999999
Ba2GdNbO6,4,2.645,3.172,2.8968,0.2694073000743176,0.5270000000000001
Ba2GdRuO6,2,0.14670000000000002,0.24950000000000006,0.19810000000000005,0.0726905771059771,0.10280000000000003
Ba2GdSbO6,2,3.4846000000000004,3.945,3.7148000000000003,0.32555196205828596,0.4603999999999995
Ba2GdTaO6,2,3.2611999999999997,3.727,3.4940999999999995,0.32937033867669413,0.4658000000000002
Ba2HfSnO6,2,4.105,6.08155491847,5.093277459235001,1.3976353862377606,1.9765549184699998
Ba2HfTiO6,2,2.3685,4.61795597522,3.49322798761,1.5906055740586604,2.24945597522
Ba2HfZrO6,2,3.455,6.34312396567,4.899061982835001,2.042212041032641,2.88812396567
Ba2HoNbO6,4,2.8516,3.2145,3.01965,0.16441975753134622,0.3629000000000002
Ba2HoRuO6,4,0.07600000000000001,1.0995,0.382625,0.48608150465396915,1.0234999999999999
Ba2HoSbO6,4,3.4155,3.838,3.59035,0.20162206393811827,0.4224999999999999
Ba2HoTaO6,4,3.413099999999999,3.625,3.5167249999999997,0.08791444230993407,0.21190000000000087
Ba2InBiO6,2,0.20800000000000002,0.5569999999999999,0.38249999999999995,0.24678026663410504,0.3489999999999999
Ba2InOsO6,3,0.309,0.605,0.4454666666666667,0.14934206819691942,0.296
Ba2InRuO6,3,0.3628,1.3061,0.7239666666666666,0.508992557247484,0.9433
Ba2InSbO6,2,0.523999999999999,1.0,0.7619999999999996,0.33658282784479726,0.476000000000001
Ba2LaCrO6,2,0.47829999999999906,0.6560000000000001,0.5671499999999996,0.12565287501685027,0.17770000000000108
Ba2LaNbO6,3,2.9716,3.1870000000000003,3.0925333333333334,0.11011200358422951,0.21540000000000026
Ba2LaRuO6,4,0.203,1.03265,0.4669499999999999,0.3870692379923779,0.82965
Ba2LaSbO6,4,3.7406,4.229000000000001,3.9485875,0.20535574164118292,0.48840000000000083
Ba2LaTaO6,5,3.2672499999999998,6.10674884473,4.101959768946,1.1388185023143047,2.8394988447300005
Ba2LaVO6,2,1.7171,1.9365,1.8268,0.15513922779232864,0.21940000000000004
Ba2LiReO6,4,1.8198,2.067,1.9189875,0.10565235740389331,0.2472000000000001
Ba2LuNbO6,4,2.847899999999999,3.0980000000000003,2.98575,0.1264499505733399,0.2501000000000011
Ba2LuRuO6,4,0.055600000000000004,1.0539,0.3550000000000001,0.47484377079905626,0.9983000000000001
Ba2LuSbO6,2,3.2383,3.721,3.4796500000000004,0.3413204432787463,0.4826999999999999
Ba2LuTaO6,2,3.408899999999999,3.6129999999999995,3.5109499999999993,0.14432049404017464,0.2041000000000004
Ba2MgGe2O7,2,3.5553,3.6256,3.5904499999999997,0.04970960671741447,0.07030000000000003
Ba2MgMoO6,3,2.14,2.2647999999999993,2.186933333333333,0.06790738791422665,0.12479999999999913
Ba2MgWO6,4,2.822,3.223099999999999,2.98465,0.17178704840586748,0.4010999999999991
Ba2Mn(AsO4)2,3,2.3699999999999997,2.7135,2.5481666666666665,0.1721092191991276,0.34350000000000014
Ba2MnGe2O7,2,2.1454,2.434299999999999,2.2898499999999995,0.20428314908479292,0.28889999999999905
Ba2MnMoO6,2,0.9219999999999999,1.265399999999999,1.0936999999999995,0.24282046865945975,0.34339999999999904
Ba2MnNbO6,2,0.44399999999999995,0.6666499999999995,0.5553249999999997,0.1574373248311845,0.22264999999999957
Ba2MnTeO6,2,0.9485999999999991,1.119,1.0337999999999996,0.12049099551418828,0.17040000000000088
Ba2MnWO6,3,0.054,2.2267,1.2842333333333336,1.1145687790950065,2.1727000000000003
Ba2NaReO6,4,1.8688,2.024,1.9503,0.06442784077296605,0.1552
Ba2NbBiO6,3,2.058599999999999,2.222,2.1385333333333327,0.08175728305988049,0.1634000000000011
Ba2NbCoO6,2,0.8815,1.534599999999999,1.2080499999999996,0.4618114387929337,0.6530999999999991
Ba2NbCrO6,4,0.173,2.455,1.496425,0.9583810528698906,2.282
Ba2NbFeO6,2,1.455,1.624,1.5395,0.11950104602052657,0.16900000000000004
Ba2NbInO6,4,3.3486000000000002,3.6482,3.47495,0.12915648131885069,0.29959999999999987
Ba2NbRhO6,2,0.8889,1.033,0.96095,0.10189408716898142,0.1440999999999999
Ba2NdNbO6,3,2.9194999999999993,3.1774999999999998,3.0295,0.13313151392514114,0.25800000000000045
Ba2NdRuO6,3,0.1125,0.3234999999999999,0.19131666666666647,0.11517921181069675,0.2109999999999999
Ba2NdSbO6,3,3.6649000000000003,4.156,3.9464666666666663,0.25335035688416385,0.4910999999999994
Ba2NdTaO6,3,3.40725,3.746,3.5444166666666668,0.17832560341502654,0.3387500000000001
Ba2NdVO6,2,1.6324,1.9749999999999996,1.8036999999999999,0.24225478323451088,0.34259999999999957
Ba2Ni(PO4)2,2,2.5757,4.0996,3.33765,1.0775600238501795,1.5238999999999998
Ba2NiMoO6,4,0.659,2.3514,1.87975,0.8163199883215732,1.6924
Ba2NiTeO6,2,1.514,2.2711,1.89255,0.5353505440363351,0.7571000000000001
Ba2NiWO6,4,0.375,3.3409,2.485575,1.4119001909365503,2.9659
Ba2PrNbO6,3,2.9378,3.228,3.0626,0.149299296716361,0.2902
Ba2PrRuO6,3,0.1195,0.31200000000000006,0.1983666666666667,0.10084940918683331,0.19250000000000006
Ba2PrSbO6,4,3.1064,4.2065,3.755475,0.48389885565064134,1.1001000000000003
Ba2PrTaO6,3,3.3958500000000003,3.7190000000000003,3.5286166666666667,0.16910423067839955,0.32315000000000005
Ba2PrVO6,2,1.6507499999999995,1.8935,1.7721249999999997,0.17165017113303474,0.24275000000000047
Ba2PuTiO6,2,0.23339999999999902,2.357,1.2951999999999997,1.5016119605277531,2.123600000000001
Ba2PuZnO6,2,0.6585000000000001,0.7870000000000004,0.7227500000000002,0.09086322138247155,0.12850000000000028
Ba2ScNbO6,2,2.5719000000000003,2.842,2.70695,0.1909895415984865,0.2700999999999998
Ba2ScTaO6,3,3.0173,3.2545,3.1122666666666667,0.12546538699311993,0.23720000000000008
Ba2ScUO6,3,0.8326000000000001,3.9769999999999994,1.9038666666666666,1.7957214297694761,3.144399999999999
Ba2SmMoO6,2,0.9085000000000001,2.263,1.58575,0.9577761351171785,1.3544999999999998
Ba2SmNbO6,3,2.8788999999999993,3.2245,3.009133333333333,0.18787124136847924,0.3456000000000006
Ba2SmSbO6,3,3.5825999999999993,4.1505,3.8753666666666664,0.28436034064780125,0.5679000000000007
Ba2SmTaO6,3,3.3634,3.753,3.5104666666666664,0.21161865072184313,0.38960000000000017
Ba2SmVO6,2,1.63095,1.9189999999999996,1.7749749999999997,0.2036821083207848,0.2880499999999997
Ba2SnWO6,2,1.017,1.3768500000000001,1.196925,0.25445237520997926,0.3598500000000002
Ba2SrTeO6,4,3.1247,3.5919999999999996,3.3187249999999997,0.23123237049917283,0.4672999999999998
Ba2SrTi3O9,2,1.772,1.8073000000000001,1.78965,0.02496086937588528,0.03530000000000011
Ba2SrV2O8,2,3.7201,3.851,3.7855499999999997,0.09256027765731924,0.13090000000000002
Ba2SrWO6,4,0.593,3.23515,2.4444125,1.2421152512112823,2.64215
Ba2TaBiO6,4,2.5855,2.738,2.67555,0.07499762218452882,0.15249999999999986
