formula_norm,src_a,src_b,gap_a,gap_b,abs_diff
AlBiO3,CMR,OQMD,4.2,2.6250000000000004,1.5749999999999997
Ba2BiSbO6,AFLOW,CMR,1.7088,3.20868465046,1.4998846504599999
Ba2BiSbO6,AFLOW,JARVIS,1.7088,2.03,0.3211999999999997
Ba2BiSbO6,AFLOW,MP,1.7088,1.6958000000000002,0.0129999999999999
Ba2BiSbO6,AFLOW,OQMD,1.7088,1.8745000000000003,0.16570000000000018
Ba2BiSbO6,CMR,JARVIS,3.20868465046,2.03,1.1786846504600001
Ba2BiSbO6,CMR,MP,3.20868465046,1.6958000000000002,1.5128846504599998
Ba2BiSbO6,CMR,OQMD,3.20868465046,1.8745000000000003,1.3341846504599997
Ba2BiSbO6,JARVIS,MP,2.03,1.6958000000000002,0.3341999999999996
Ba2BiSbO6,JARVIS,OQMD,2.03,1.8745000000000003,0.15549999999999953
Ba2BiSbO6,MP,OQMD,1.6958000000000002,1.8745000000000003,0.17870000000000008
Ba2CaMoO6,AFLOW,CMR,2.1194,3.61508206386,1.49568206386
Ba2CaMoO6,AFLOW,JARVIS,2.1194,2.148,0.02859999999999996
Ba2CaMoO6,AFLOW,MP,2.1194,2.258,0.13859999999999983
Ba2CaMoO6,AFLOW,OQMD,2.1194,2.234,0.11459999999999981
Ba2CaMoO6,CMR,JARVIS,3.61508206386,2.148,1.46708206386
Ba2CaMoO6,CMR,MP,3.61508206386,2.258,1.35708206386
Ba2CaMoO6,CMR,OQMD,3.61508206386,2.234,1.38108206386
Ba2CaMoO6,JARVIS,MP,2.148,2.258,0.10999999999999988
Ba2CaMoO6,JARVIS,OQMD,2.148,2.234,0.08599999999999985
Ba2CaMoO6,MP,OQMD,2.258,2.234,0.02400000000000002
Ba2CaTeO6,AFLOW,JARVIS,2.9961,3.255,0.2588999999999997
Ba2CaTeO6,AFLOW,MP,2.9961,2.9976000000000003,0.0015000000000000568
Ba2CaTeO6,AFLOW,OQMD,2.9961,3.444,0.44789999999999974
Ba2CaTeO6,JARVIS,MP,3.255,2.9976000000000003,0.25739999999999963
Ba2CaTeO6,JARVIS,OQMD,3.255,3.444,0.18900000000000006
Ba2CaTeO6,MP,OQMD,2.9976000000000003,3.444,0.4463999999999997
Ba2CaWO6,AFLOW,CMR,2.8571,4.74610634282,1.8890063428200001
Ba2CaWO6,AFLOW,JARVIS,2.8571,0.609,2.2481
Ba2CaWO6,AFLOW,MP,2.8571,3.1887999999999996,0.33169999999999966
Ba2CaWO6,AFLOW,OQMD,2.8571,3.0635,0.20639999999999992
Ba2CaWO6,CMR,JARVIS,4.74610634282,0.609,4.13710634282
Ba2CaWO6,CMR,MP,4.74610634282,3.1887999999999996,1.5573063428200005
Ba2CaWO6,CMR,OQMD,4.74610634282,3.0635,1.6826063428200002
Ba2CaWO6,JARVIS,MP,0.609,3.1887999999999996,2.5797999999999996
Ba2CaWO6,JARVIS,OQMD,0.609,3.0635,2.4545
Ba2CaWO6,MP,OQMD,3.1887999999999996,3.0635,0.12529999999999974
Ba2CdGe2O7,JARVIS,MP,2.807,2.9166,0.10959999999999992
Ba2CdMoO6,MP,OQMD,2.5376000000000003,2.281,0.25660000000000016
Ba2CeZrO6,JARVIS,MP,2.233,2.3156,0.08259999999999978
Ba2Co(PO4)2,AFLOW,MP,3.5461,1.4643000000000002,2.0818
Ba2CoGe2O7,AFLOW,MP,2.6982,2.124,0.5741999999999998
Ba2CoMoO6,MP,OQMD,1.274,1.0200000000000005,0.25399999999999956
Ba2CoReO6,AFLOW,MP,0.2893,0.19819999999999902,0.09110000000000099
Ba2CoReO6,AFLOW,OQMD,0.2893,0.255,0.0343
Ba2CoReO6,MP,OQMD,0.19819999999999902,0.255,0.05680000000000099
Ba2CoSi2O7,AFLOW,MP,3.7458,2.4604499999999994,1.2853500000000007
Ba2CoWO6,MP,OQMD,1.8426999999999991,1.5845,0.2581999999999991
Ba2Cu(PO4)2,AFLOW,JARVIS,1.4721,0.344,1.1280999999999999
Ba2Cu(PO4)2,AFLOW,MP,1.4721,0.258499999999999,1.213600000000001
Ba2Cu(PO4)2,JARVIS,MP,0.344,0.258499999999999,0.08550000000000096
Ba2CuGe2O7,AFLOW,JARVIS,1.5455999999999999,0.218,1.3276
Ba2CuGe2O7,AFLOW,MP,1.5455999999999999,0.196299999999999,1.3493000000000008
Ba2CuGe2O7,JARVIS,MP,0.218,0.196299999999999,0.021700000000000996
Ba2CuSi2O7,AFLOW,JARVIS,1.43005,0.1895,1.24055
Ba2CuSi2O7,AFLOW,MP,1.43005,0.13134999999999952,1.2987000000000006
Ba2CuSi2O7,JARVIS,MP,0.1895,0.13134999999999952,0.05815000000000048
Ba2CuWO6,AFLOW,OQMD,0.9129,0.7024999999999999,0.21040000000000014
Ba2DyNbO6,AFLOW,JARVIS,3.0914,2.923,0.1684000000000001
Ba2DyNbO6,AFLOW,MP,3.0914,2.86095,0.23045000000000027
Ba2DyNbO6,AFLOW,OQMD,3.0914,3.215,0.12359999999999971
Ba2DyNbO6,JARVIS,MP,2.923,2.86095,0.06205000000000016
