formula_norm,source,n,med,lo,hi,sd,range
Ag6Te4W3O20,MP,1,2.4678,2.4678,2.4678,,0.0
Al2Fe2Bi2O9,MP,2,2.3857,2.32,2.4514,0.09291383104791248,0.13140000000000018
Al2Fe3(BiO4)3,MP,1,1.781699999999999,1.781699999999999,1.781699999999999,,0.0
Al2Ga2Bi2O9,MP,2,2.85325,2.7318,2.9747,0.17175623715021232,0.24290000000000012
Al2Sb2PbO7,OQMD,1,2.857,2.857,2.857,,0.0
Al3Bi(BO3)4,JARVIS,1,4.165,4.165,4.165,,0.0
Al7Cr(Bi2O9)2,MP,1,2.5541,2.5541,2.5541,,0.0
AlBi(PbO3)2,OQMD,1,0.585,0.585,0.585,,0.0
AlBiO3,OQMD,14,2.6250000000000004,0.7740000000000009,3.251999999999999,0.7290401072794129,2.477999999999998
AlFe(BiO3)2,OQMD,1,2.208,2.208,2.208,,0.0
Ba(GeO2)3,OQMD,1,0.254,0.254,0.254,,0.0
Ba10Nb3Bi7O30,MP,1,0.8441000000000001,0.8441000000000001,0.8441000000000001,,0.0
Ba2AcRuO6,OQMD,2,0.44900000000000007,0.44899999999999984,0.4490000000000003,3.1401849173675503e-16,4.440892098500626e-16
Ba2AcSbO6,OQMD,1,3.965,3.965,3.965,,0.0
Ba2AgMoO6,OQMD,1,0.636,0.636,0.636,,0.0
Ba2AgSbO6,OQMD,1,0.601,0.601,0.601,,0.0
Ba2AgWO6,OQMD,1,2.2,2.2,2.2,,0.0
Ba2AlAsO6,OQMD,2,0.49700000000000005,0.495,0.4990000000000001,0.002828427124746271,0.004000000000000115
Ba2AlBiO6,OQMD,5,0.24800000000000022,0.246,1.1,0.4400827194971418,0.8540000000000001
Ba2AlBrO6,OQMD,2,1.243,1.2400000000000002,1.246,0.004242640687119132,0.005999999999999783
Ba2AlMoO6,OQMD,1,0.313,0.313,0.313,,0.0
Ba2AlOsO6,OQMD,1,0.787,0.787,0.787,,0.0
Ba2AlReO6,OQMD,1,0.247,0.247,0.247,,0.0
Ba2AlRuO6,OQMD,1,0.738,0.738,0.738,,0.0
Ba2AlSbO6,OQMD,11,1.481,1.476,2.773,0.48235899494049034,1.2970000000000002
Ba2AlTcO6,OQMD,1,0.344,0.344,0.344,,0.0
Ba2AlVO6,OQMD,2,1.5485,1.548,1.549,0.0007071067811864697,0.0009999999999998899
Ba2BIrO6,OQMD,1,0.254,0.254,0.254,,0.0
Ba2BSbO6,OQMD,1,2.845,2.845,2.845,,0.0
Ba2BeMoO6,OQMD,2,1.9374999999999998,1.851,2.0239999999999996,0.12232947314527244,0.1729999999999996
Ba2BeTeO6,OQMD,3,1.1139999999999999,1.1130000000000004,2.23,0.6446117694654149,1.1169999999999995
Ba2BeWO6,OQMD,3,2.843,2.5029999999999997,2.856,0.2001574380331645,0.3530000000000002
Ba2BiAsO6,OQMD,10,1.721,1.597,2.954,0.40094955349076583,1.3570000000000002
Ba2BiBrO6,OQMD,5,0.243,0.242,1.458,0.6317378411968053,1.216
Ba2BiIrO6,AFLOW,1,0.4357,0.4357,0.4357,,0.0
Ba2BiOsO6,OQMD,13,0.593999999999999,0.39400000000000013,0.792,0.14050139154343266,0.3979999999999999
Ba2BiPO6,OQMD,1,2.722,2.722,2.722,,0.0
Ba2BiPtO6,OQMD,1,0.746999999999999,0.746999999999999,0.746999999999999,,0.0
Ba2BiRuO6,OQMD,12,0.372,0.247,0.49599999999999955,0.10522141157837327,0.24899999999999956
Ba2BiSbO6,AFLOW,2,1.7088,1.6409,1.7767,0.09602510088513301,0.13579999999999992
Ba2BiSbO6,JARVIS,3,2.03,1.652,2.078,0.2333323809504373,0.42599999999999993
Ba2BiSbO6,MP,5,1.6958000000000002,0.31969999999999904,1.774599999999999,0.6232256196595262,1.4549
